id,video_id,title,channel,published_at,views,likes,url,tone,occasions,moods,description_keywords
4012,-H0LiexLh14,[grwm] 간단하게 할 수 있는 딥플럼립 포인트 메이크업,Happyrim혜림쌤,2021-04-11,62489,980,https://www.youtube.com/watch?v=-H0LiexLh14,겨쿨,출근/등교,"내추럴(자연스러운), 글램(글로우)","글램, 간단, 글로우, 네추럴"
4013,-j-c6RrIXLo,[makeup]무펄섀도우팔레트로 완성하는 쉽고 간단한 데일리메이크업(with릴리바이레드),Happyrim혜림쌤,2020-02-29,243933,2944,https://www.youtube.com/watch?v=-j-c6RrIXLo,가을웜,출근/등교,"내추럴(자연스러운), 러블리","간단, 코랄, 핑크, 데일리, 누드"
4014,3x__loOMPpI,로즈톤의 음영메이크업 GRWM,Happyrim혜림쌤,2019-02-07,249409,2511,https://www.youtube.com/watch?v=3x__loOMPpI,봄웜,데일리,고급스러운,누드
4015,46AFwxnJLAA,영주 깨끗한 메이크업 해주고 프로필 촬영한 날🩵,Happyrim혜림쌤,2024-09-08,44748,549,https://www.youtube.com/watch?v=46AFwxnJLAA,여쿨,격식있는,청순,"깨끗한, 깨끗"
4016,4oE8iq4pWzQ,[makeup]손쉽게 완성하는 여름 보송 메이크업 (아르마니뷰티),Happyrim혜림쌤,2020-07-25,93963,1219,https://www.youtube.com/watch?v=4oE8iq4pWzQ,가을웜,데일리,글램(글로우),"다크, 글로우, 누드"
4017,5mYfYkmAprI,눅눅한 날씨에 좋은 매트 베이스 + 호불호x 맑은코랄톤 메이크업,Happyrim혜림쌤,2021-07-19,116714,1263,https://www.youtube.com/watch?v=5mYfYkmAprI,봄웜,데일리,"내추럴(자연스러운), 청순","코랄, 다크, 맑은, 누드"
4018,5UakryK13-Y,[grwm]봄웜님들 위한 맑고 화사한 코랄 메이크업🧡 왔어요,Happyrim혜림쌤,2021-03-25,257465,3570,https://www.youtube.com/watch?v=5UakryK13-Y,봄웜,데일리,"내추럴(자연스러운), 글램(글로우)","코랄, 글로우, 화사한, 네추럴"
4019,6j9h2zhDBZQ,제주도 웨딩 스냅 헤어메이크업,Happyrim혜림쌤,2024-03-17,95795,1937,https://www.youtube.com/watch?v=6j9h2zhDBZQ,가을웜,격식있는,"내추럴(자연스러운), 러블리","내추럴, 핑크, 웨딩"
4020,6NQfr3k79qI,페리페라 신상 팔레트 당근빛 코랄 메이크업,Happyrim혜림쌤,2021-09-15,117431,1851,https://www.youtube.com/watch?v=6NQfr3k79qI,봄웜,데일리,러블리,코랄
4021,7B_3r8nv0nQ,겨울니트같은 포근한 누드코랄톤 메이크업,Happyrim혜림쌤,2024-01-21,63909,942,https://www.youtube.com/watch?v=7B_3r8nv0nQ,가을웜,데일리,"내추럴(자연스러운), 글램(글로우)","코랄, 다크, 내추럴, 글로우, 누디, 누드, 글램"
4022,7fPs20c24yw,가볍게 도전해보기 좋은 컷크리즈 느낌의 메이크업,Happyrim혜림쌤,2021-11-11,53398,769,https://www.youtube.com/watch?v=7fPs20c24yw,가을웜,데일리,글램(글로우),글로우
4023,AKEnDTujf8k,청담메이크업아티스트들이 사랑하는 ‘클리오’ 원브랜드메이크업(ft.킬커버광채파운데이션),Happyrim혜림쌤,2020-05-29,245870,3293,https://www.youtube.com/watch?v=AKEnDTujf8k,봄웜,파티,"글램(글로우), 힙·트렌디","투명, 클럽"
4024,bV2MVgCOhaI,요즘 좋아하는 깨끗한 음영메이크업,Happyrim혜림쌤,2022-07-10,115963,1720,https://www.youtube.com/watch?v=bV2MVgCOhaI,여쿨,데일리,"내추럴(자연스러운), 청순","다크, 내추럴, 깨끗한, 깨끗, 복숭아"
4025,CYlAIcvmJAA,"(jap,eng)[grwm]글리터 덕후님들 위한 신제품과 함께 반짝반짝 화려한메이크업",Happyrim혜림쌤,2020-12-15,81454,1386,https://www.youtube.com/watch?v=CYlAIcvmJAA,가을웜,파티,글램(글로우),"화려한, 누드"
4026,d8kJKKvm-Wc,[EN/JP]여리여리 맑으면서 깨끗한 데일리 메이크업 (feat. 무지개맨션),Happyrim혜림쌤,2022-09-18,143964,1847,https://www.youtube.com/watch?v=d8kJKKvm-Wc,여쿨,데일리,"내추럴(자연스러운), 글램(글로우), 청순","다크, 글로우, 여리여리, 데일리, 깨끗한, 깨끗"
4027,EDEd768OM2Q,[makeup]데일리로 도전해볼만한 보라색섀도우 메이크업,Happyrim혜림쌤,2020-07-19,58339,1081,https://www.youtube.com/watch?v=EDEd768OM2Q,미분류,데일리,내추럴(자연스러운),데일리
4028,g1ARVA5bO6g,[makeup] 깨끗한 메이크업 받으신 아라신부님💗 결혼 축하드려요,Happyrim혜림쌤,2020-10-02,108834,1209,https://www.youtube.com/watch?v=g1ARVA5bO6g,봄웜,격식있는,"글램(글로우), 청순","글로우, 깨끗한, 깨끗"
4029,gMf4ZzsHrK0,3ce #BEACH MUSE 컬러로 해본 핑크코랄 메이크업,Happyrim혜림쌤,2019-04-28,213198,2797,https://www.youtube.com/watch?v=gMf4ZzsHrK0,봄웜,데일리,러블리,"코랄, 핑크"
4030,GxpsS-4lvHw,[makeup]바디프로필용 메이크업 with제이수란 (깊이있고 큰 눈 만들기),Happyrim혜림쌤,2020-09-15,51189,859,https://www.youtube.com/watch?v=GxpsS-4lvHw,가을웜,격식있는,"러블리, 고급스러운","코랄, 다크, 누디, 누드"
4031,H77l_HkfIn8,오렌지톤 데일리메이크업과 헤어스타일링 스피디하게 완성하기!(재업로드),Happyrim혜림쌤,2019-05-31,170917,1591,https://www.youtube.com/watch?v=H77l_HkfIn8,봄웜,데일리,내추럴(자연스러운),"데일리, 누드"
4032,KAivd6hwEtc,여러가지 봄신상 이용한 리빙코랄 데일리 메이크업,Happyrim혜림쌤,2019-03-01,791399,6501,https://www.youtube.com/watch?v=KAivd6hwEtc,봄웜,데일리,내추럴(자연스러운),"코랄, 데일리, 누드, 퓨어"
4033,KiSIbPxDkxQ,[makeup]요즘 많이 해드리고있는 수채화빛 웨딩메이크업 알려드려요 with 아이웨딩,Happyrim혜림쌤,2020-01-16,1274147,18911,https://www.youtube.com/watch?v=KiSIbPxDkxQ,봄웜,"격식있는, 야외/여행","내추럴(자연스러운), 러블리, 청순","다크, 투명, 핑크, 미니멀, 네추럴, 웨딩, 가벼운, 누드, 포멀, 야외, 수채화"
4034,lh7Lb91XDy8,[grwm] 오랜만에 눈에 힘 빡! 준 옐로우브라운 웜톤 메이크업,Happyrim혜림쌤,2021-04-06,61921,939,https://www.youtube.com/watch?v=lh7Lb91XDy8,가을웜,데일리,내추럴(자연스러운),네추럴
4035,nTC5IP8jc_M,10분안에 하는 아주 심플한 출근 메이크업,Happyrim혜림쌤,2022-01-24,186101,1831,https://www.youtube.com/watch?v=nTC5IP8jc_M,봄웜,출근/등교,내추럴(자연스러운),"간단, 출근, 미니멀"
4036,o7UnZnq1_7c,지극히 혜림쌤 스타일의 무펄 쿨톤 데일리 메이크업,Happyrim혜림쌤,2021-07-29,297478,4860,https://www.youtube.com/watch?v=o7UnZnq1_7c,미분류,데일리,내추럴(자연스러운),"다크, 데일리, 누드"
4037,oxx0RY_-zaQ,[makeup] 신상 제품들로 촉촉 윤기 가득한 코랄 메이크업 하기(Eng sub),Happyrim혜림쌤,2020-02-20,285391,3504,https://www.youtube.com/watch?v=oxx0RY_-zaQ,봄웜,데일리,"러블리, 글램(글로우)","코랄, 촉촉, 핑크, 글로우"
4038,pMITsdSFTtU,[grwm]너무 강해보이지 않는 웨어러블한 태닝메이크업,Happyrim혜림쌤,2019-08-21,45009,599,https://www.youtube.com/watch?v=pMITsdSFTtU,가을웜,데일리,"내추럴(자연스러운), 글램(글로우)","순수, 글로우, 네추럴"
4039,QvGE1XF0dj4,간단하게 연출해 본 상큼한 핑크+레드 여름용 과즙 메이크업,Happyrim혜림쌤,2021-06-06,273375,3033,https://www.youtube.com/watch?v=QvGE1XF0dj4,미분류,출근/등교,러블리,"상큼, 간단, 핑크, 과즙"
4040,S18SHfLYZKc,GRWM) 무너지지 않는 페스티벌용 키라키라메이크업(with NAMING),Happyrim혜림쌤,2019-06-14,72277,869,https://www.youtube.com/watch?v=S18SHfLYZKc,봄웜,야외/여행,"러블리, 힙·트렌디","코랄, 페스티벌, 누드"
4041,T82bZKD4Pko,[makeup] 반짝반짝아이메이크업 & 화사한 만다린코랄톤 메이크업,Happyrim혜림쌤,2020-05-19,205011,2937,https://www.youtube.com/watch?v=T82bZKD4Pko,봄웜,파티,글램(글로우),"코랄, 다크, 글로우, 화사한"
